店號,店名,地址
194273,頂王,彰化縣鹿港鎮頭崙里7鄰頂草路二段135號
195793,泓寶,彰化縣社頭鄉員集路四段697號
195874,管興,彰化縣福興鄉沿海路三段286號
196028,鹿工,彰化縣鹿港鎮鹿工南一路5號
196235,兆福,彰化縣彰化市一德南路2號、彰南路三段400號
197537,秀安,彰化縣秀水鄉安溪村彰鹿路19號
198943,埔成,彰化縣埔心鄉中正路一段137號139號1樓
199016,品客,彰化縣大村鄉中山路一段86號
199120,和港,彰化縣和美鎮和港路552號1樓
199315,新大埔,彰化縣彰化市延平里大埔路540號542號
199452,新員民,彰化縣員林市三民街20號
199843,彰政,彰化縣彰化市中正路二段113號115號117號119號
200468,北圓,彰化縣北斗鎮中華路91.93號
200985,二水,彰化縣二水鄉員集路四段8號10號
845472,溪湖,彰化縣溪湖鎮彰水路三段105號107號109號
862097,花壇,彰化縣花壇鄉中山路二段1號3號1樓
875369,彰和,彰化縣彰化市民族路163號
881641,彰基,彰化縣二林鎮大成路一段571號
882839,湖北,彰化縣溪湖鎮彰水路四段79號
883762,新香珍,彰化縣福興鄉彰水路56號58號60號
887177,民生,彰化縣彰化市華山路27號
888549,葉大,彰化縣大村鄉學府路168號
892560,埔鹽,彰化縣埔鹽鄉彰水路二段36號
904133,德美,彰化縣和美鎮德美路700號
909552,員家,彰化縣員林市中正路75號
913274,彰醫,彰化縣埔心鄉舊館村中興路1號
920711,伸港,彰化縣伸港鄉中山路190號192號
921161,東芳,彰化縣彰化市東芳里永芳路199號
922245,創新,彰化縣鹿港鎮順興里復興路595號1樓
922511,美溪,彰化縣溪湖鎮大溪路二段451號
922809,鶴鳴,彰化縣秀水鄉鶴鳴村彰鹿路362號
922898,新大村,彰化縣大村鄉中正西路331號1樓
924609,芳林,彰化縣芳苑鄉斗苑路156號之1
931179,太子哈,彰化縣彰化市泰和中街72號
931238,薪世麥,彰化縣花壇鄉長沙村彰員路二段550號552號
931618,金順利,彰化縣埤頭鄉和豐村斗苑東路87號89號
931700,智富,彰化縣彰化市萬安里長順街170號
932002,兆詠,彰化縣彰化市台鳳里一德南路252號
932194,秀中,彰化縣秀水鄉安東村中山路251號
940232,社員,彰化縣社頭鄉員集路三段16號
941660,中圳,彰化縣北斗鎮中和里斗中路319號
941903,村尚,彰化縣大村鄉中山路二段357號357-2號1樓
941970,勝全,彰化縣彰化市林森路205號
950583,東崎,彰化縣鹿港鎮東崎里彰鹿路五段7號
951128,彰德,彰化縣彰化市香山里彰南路二段510號
952062,和卿,彰化縣和美鎮和南里和卿路193號
952350,鹿秀,彰化縣鹿港鎮鹿工路6號
952578,美皇,彰化縣大村鄉山腳路72號
953032,梅州里,彰化縣田中鎮中州路二段372號
953467,田正,彰化縣田尾鄉中山路一段191號
953629,群茂,彰化縣二林鎮斗苑路四段159號
953744,管嶼,彰化縣福興鄉沿海路三段69號
953881,鹿棋,彰化縣鹿港鎮溝墘里鹿和路三段438號
954459,新百川,彰化縣員林市莒光路379號
954552,和線,彰化縣和美鎮嘉犁里線東路二段722號
959317,惠明,彰化縣員林市惠明街51號
961941,秀工,彰化縣秀水鄉彰水路二段795-1號
963121,伸冠,彰化縣伸港鄉大同村中興路二段316號
965563,昇沅,彰化縣福興鄉福南村沿海路四段750號
966016,欣兆陽,彰化縣彰化市向陽里向陽街205及207號1樓
966072,台化,彰化縣彰化市復興里中山路三段306號
966577,新員高,彰化縣溪湖鎮員鹿路一段101號
966935,彰興,彰化縣埤頭鄉興農村彰水路四段107號1樓
967019,大員山,彰化縣員林市中山路一段300號
967363,員鹿,彰化縣溪湖鎮員鹿路二段臨130號
967400,鹿寶,彰化縣鹿港鎮彰頂路17號
967916,沓澤,彰化縣彰化市彰美路一段206號208號
968506,龍舟,彰化縣福興鄉福興村龍舟路15號
968610,順心,彰化縣埔心鄉中山路145號147號149號
968997,路口厝,彰化縣埤頭鄉中和村彰水路一段臨325號
970026,加吉利,彰化縣田中鎮中正路276號
970691,金佳旺,彰化縣社頭鄉中山路一段516號
971155,鹿正,彰化縣鹿港鎮中正路556號
971199,新竹塘,彰化縣竹塘鄉竹五路臨2號
971535,祿靖,彰化縣永靖鄉中山路二段435號437號
971627,彰苑,彰化縣北斗鎮斗苑路二段298之2號
971731,和鎮,彰化縣和美鎮和線路323號
972170,鹿慶,彰化縣鹿港鎮慶安街116號
977371,田中,彰化縣田中鎮福安路144號146號
978525,附工,彰化縣彰化市工校街21號
981923,糖廉,彰化縣和美鎮糖友一街2號
982373,好修,彰化縣埔鹽鄉員鹿路二段95號
982513,新斗中,彰化縣北斗鎮中華路205號1樓
990835,新靜修,彰化縣員林市靜修路77號之4
991160,新勝利,彰化縣和美鎮鹿和路六段402之2號
991838,家和,彰化縣員林市大饒里員集路二段216號
992783,博愛,彰化縣彰化市光南里南校街132及130之1號1樓
993465,線西,彰化縣線西鄉寓埔村沿海路一段892號
993683,新溪州,彰化縣溪州鄉尾厝村中山路三段474號
993812,巨峰,彰化縣彰化市天祥路359號
993823,宇勝,彰化縣彰化市崙平里崙平北路22號
997836,鎮安,彰化縣大村鄉大溪路7-4號1樓
